,title,subtitle,link
0,SHINING ARMA,Meet SunSport's World Cup 2026 psychic armadillo using his special powers to reveal EXACTLY how England will get on,https://www.thesun.co.uk/sport/39285637/world-cup-2026-england-prediction-psychic-armadillo/
1,IRAN 2 NEW ZEALAND 2,Iranian anthem booed by fans in LA before they play out thriller,https://www.thesun.co.uk/sport/39426563/iran-national-anthem-new-zealand-2026-world-cup/
2,BUK STOPS HERE,Saka gives injury update and insists he 'doesn't want to go against' Tuchel,https://www.thesun.co.uk/sport/39424249/bukayo-saka-england-health-update-tuchel-world-cup/
3,SIGN OF THE TIMES,England stars tricked into signing America's Declaration of Independence,https://www.thesun.co.uk/sport/39426299/england-declaration-independence-us-harry-kane/
4,WRECKING BALL,Giant World Cup football breaks free and bounces into truck causing chaos,https://www.thesun.co.uk/sport/39426470/giant-world-cup-football-el-salvador/
5,THREE LIONS BOOST,England vs Croatia: Three Lions 60/1 to win or draw with Paddy Power,https://www.thesun.co.uk/sport/39386689/england-croatia-paddy-power-odds-free-bets-promo-code/
6,LA PROTEST,Thousands of Iranian Americans protest outside their first World Cup game with SWAT and FBI in huge security operation,https://www.thesun.co.uk/sport/39426093/iranian-americans-protest-world-cup-security/
7,SPAIN RELIEF,"Lamine Yamal, 18, is consoled by girlfriend Ines Garcia in stands after Spain are humbled by Cape Verde",https://www.thesun.co.uk/sport/39424883/lamine-yamal-consoled-girlfriend-ines-garcia-spain-cape-verde/
8,THATS RUDE,Belgium boss' shirt turns see-through as he suddenly appears drenched live on TV,https://www.thesun.co.uk/sport/39426107/belgium-manager-rudi-garcia-shirt-drenched-sprinkler-egypt/
9,BELGIUM 1 EGYPT 1,Lukaku makes impact just 22 SECONDS after coming on to rescue point,https://www.thesun.co.uk/sport/39424938/belgium-egypt-match-report-lukaku-world-cup/
10,SPAIN 0 CAPE VERDE 0,Minnows pull off one of greatest World Cup shocks and hold favourites,https://www.thesun.co.uk/sport/39423019/spain-cape-verde-minnows-world-cup-shock-yamal/
11,'WHY DID HE BLOW THERE?',Controversy as ref blows whistle early with star through on goal,https://www.thesun.co.uk/sport/39425952/saudi-arabia-uruguay-world-cup-match-report/
12,NU LOOK,Fans gobsmacked by Nunez's new look with hair 'drawn on by sharpie' at World Cup,https://www.thesun.co.uk/sport/39425449/darwin-nunez-new-hair-world-cup-uruguay/
13,TON OF INTENT,Tottenham 'launch ambitious move to hijack Tonali's Arsenal transfer',https://www.thesun.co.uk/sport/39425111/tottenham-sandro-tonali-transfer-arsenal-man-city/
14,CAPE TEARS,"Cape Verde keeper, 40, in tears after World Cup masterclass embarrasses Spain",https://www.thesun.co.uk/sport/39423290/vozinha-tears-cape-verde-masterclass-embarrasses-spain-world-cup/
15,GOAL BOOST,England vs Croatia: Get over 0.5 goals at 60/1 with Sky Bet World Cup special,https://www.thesun.co.uk/sport/39387117/england-croatia-world-cup-odds-sky-bet-goal-offer/
16,WHITEWASH,World Cup 2026: Get 66/1 for England to wear white against Croatia with Betfred,https://www.thesun.co.uk/sport/39191050/world-cup-2026-england-wear-white-croatia-betfred-offer/
17,KANE'S CASH,"Bet £10, Get £10 in free bets for every Harry Kane World Cup goal with Sky Bet",https://www.thesun.co.uk/sport/39316452/sky-bet-harry-kane-goal-special-offer-free-bets/
18,WORLDIE OFFERS,World Cup 2026 free bets and offers: Best new football sign-up deals,https://www.thesun.co.uk/sport/39273117/world-cup-2026-free-bets-sign-up-offers/
19,GET ME IN THERE!,"Ant McPartlin splurges £10m on ex-Premier League star’s mega-mansion complete with pool, gym and cinema",https://www.thesun.co.uk/tv/39422435/ant-mcpartlin-chelsea-cesar-azpilacueta-mansion-pool-gym-cinema/
20,CARN DO THAT,ITV viewers stunned as 90s pop legend sits on Karen Carney on live TV,https://www.thesun.co.uk/sport/39425394/world-cup-itv-wyclef-jean-karen-carney/
21,HOMESICK BLUES,Cucurella's partner in shock at  Blues exit and 'can't explain it to kids',https://www.thesun.co.uk/sport/39422623/marc-cucurella-partner-claudia-rodriguez-shocked-chelsea-exit-message/
22,TUN OF TROUBLE,Tunisia in crisis as sacked boss takes training with World Cup icon eyed,https://www.thesun.co.uk/sport/39426105/world-cup-tunisia-sabri-lamouchi-herve-renard/
23,FOOTIE CHASE,Cops launch op to track down 'missing' football hooligans during World Cup,https://www.thesun.co.uk/sport/39424513/cops-hunt-hooligans-who-skip-passport-hand/
24,TOURNAMENT TURMOIL,SWAT team rushes to armed standoff just mile from England stadium,https://www.thesun.co.uk/sport/39424146/swat-team-world-cup-standoff-suspect-arrested/
25,WHEELER DEALERS,TRANSFER NEWS: Real Madrid ANNOUNCE Cucurella after closing on Bernardo Silva,https://www.thesun.co.uk/sport/39289435/transfer-news-live-tottenham-real-madrid-silva-anderson-updates/
26,UNBELIEVA-BALI,"Enjoy this 11-night Singapore GP and Bali holiday from just £2,049pp",https://www.thesun.co.uk/sport/39293688/f1-fans-book-singapore-grand-prix-bali-holiday-price/
27,COURT SHORT,Book your Wimbledon seat & hotel deal with this ace travel package to SW19,https://www.thesun.co.uk/sport/37035603/wimbledon-packages-tickets-hotel-deal-sinner-alcaraz/
28,OPEN SEASON,The Open ticket and hotel for under £200 with unbeatable single day deals,https://www.thesun.co.uk/sport/39343738/open-ticket-hotel-packages-royal-birkdale-golf/
29,UNFERGETTABLE,Beckham forgetting his passport and Ferguson's foul-mouthed team talk – what happened in the last Man United documentary,https://www.thesun.co.uk/sport/39418948/man-utd-amazon-dcoumentary-news/
30,HAPPY EVA AFTER,Glamorous football presenter Eva Murati strips down to bikini on holiday,https://www.thesun.co.uk/sport/39424818/eva-murati-bikini-holiday-pictures-glamorous/
31,WIZARD OF VOZ,"Cape Verde goalkeeper, 40, gets a million Insta followers during Spain draw",https://www.thesun.co.uk/sport/39422727/world-cup-cape-verde-vozinha-instagram/
32,NO SPAIN PAIN,Why England and all other World Cup rivals should be worried by Spain result,https://www.thesun.co.uk/sport/39424455/england-world-cup-rivals-worried-spain-humbled-cape-verde/
33,REF RESPONSE,World Cup ref claims 'far-right' gesture was 'involuntary subconscious twitch',https://www.thesun.co.uk/sport/39425231/world-cup-referee-far-right-gesture-shaun-evans/
34,HERO'S CAPE,Punter wins astonishing £3.2MILLION betting on Spain not to beat Cape Verde,https://www.thesun.co.uk/sport/39424017/world-cup-spain-cape-verde-bet/
35,WELCOME PLAYER,Join Sun Vegas now and claim a 100% deposit match bonus and 100 free spins,https://www.thesun.co.uk/sun-bingo/33772563/join-sun-vegas-deposit-match-bonus-free-spins-new-player/
36,TOP DEALS,Best casino bonus and welcome offers for UK players (June 2026),https://www.thesun.co.uk/betting/34614926/best-casino-sign-up-bonus/
37,SLOT STAR,Best slot sites in the UK: Top online slots casinos in 2026,https://www.thesun.co.uk/betting/33374504/best-slot-sites-uk/
38,FLIGHT-MARE,"England must travel nightmare 12,400 MILES – halfway around the globe – from remote Kansas base to win the World Cup",https://www.thesun.co.uk/sport/39074427/england-travel-win-2026-world-cup/
39,MOUR N MORE,Brazil's sexiest fan sends message to team as she watches on for World Cup flop,https://www.thesun.co.uk/sport/39425557/brazil-sexiest-fan-sends-message-team-world-cup/
40,JIBE STORM,Spurs legend under fire for offensive 'joke' about Japan team live on TV,https://www.thesun.co.uk/sport/39423482/tottenham-rafael-van-der-vaart-japan-netherland/
41,SOUR CAPES,Spain striker sets unwanted World Cup history with horror stat vs Cape Verde,https://www.thesun.co.uk/sport/39422918/spain-striker-mikel-oyarzabal-unwanted-world-cup-history/
42,GOOD DECISION,World's sexiest referee puts on busty display at World Cup in Miami,https://www.thesun.co.uk/sport/39425705/world-cup-claudia-romani-italy/
43,ANYTHING TO OLI-SEE HERE?,Michael Olise wears Chelsea kit in France World Cup squad pic,https://www.thesun.co.uk/sport/39425934/michael-olise-chelsea-kit-france-world-cup-arsenal-blunder/
44,CIRCLE BREAKER,England Wags' inner circle now has just one remaining member after messy split and World Cup snubs,https://www.thesun.co.uk/sport/39251738/england-wags-inner-circle-splits-world-cup/
45,AUSTR-ACISED,Forgotten ex-Chelsea man switched allegiance from England before World Cup,https://www.thesun.co.uk/sport/39424102/carney-chukwuemeka-chelsea-england-austria-world-cup/
46,CUT ABOVE,Eagle-eyed fans spot Valverde's scar ‘from Tchouameni bust-up’ in World Cup game,https://www.thesun.co.uk/sport/39425776/world-cup-federico-valverde-scar-tchouameni/
47,ROYAL ASCENT,How Prince loved by FA guided Jordan to World Cup & lured English icon as boss,https://www.thesun.co.uk/sport/39423046/prince-ali-fifa-jordan-austria-world-cup-harry-redknapp/
48,SIX OF THE BEST,Gordon had just six Spanish lessons before turning heads at Barca unveiling,https://www.thesun.co.uk/sport/39424625/world-cup-anthony-gordon-england-barcelona/
49,NU DAWN,Liverpool 'set to re-sign Darwin Nunez on free transfer' after contract cancelled,https://www.thesun.co.uk/sport/39423867/liverpool-darwin-nunez-free-transfer/
50,MOVING DAY,Tottenham icon warns Roberto De Zerbi he needs to sign another SIX new players,https://www.thesun.co.uk/sport/39421050/tottenham-transfer-news-roberto-de-zerbi-darren-anderton/
51,BOUADD NEWS,‘Three Premier League clubs’ chasing World Cup wonderkid Ayyoub Bouaddi,https://www.thesun.co.uk/sport/39424757/ayyoub-bouaddi-transfer-morocco-world-cup-man-utd/
52,GOLDEN GOALS,"England top goalscorer odds, tips and predictions: Can anyone top Harry Kane?",https://www.thesun.co.uk/sport/39293075/world-cup-england-top-scorer-predictions-harry-kane/
53,CREME DE LA PREM,Six Prem midfield targets Man Utd weighing up – and who they should sign,https://www.thesun.co.uk/sport/39348429/man-utd-transfer-six-midfield-targets-anderson-fernandes-tonali/
54,MAN UTD NEWS,"Ederson announcement 'IMMINENT', Red Devils eye deals for Fernandes & Hall",https://www.thesun.co.uk/sport/39415482/man-utd-transfer-news-live-ederson-fernandes-hall-updates/
55,ARSENAL NEWS,"Morgan Rogers 'open' to move, Tzolis 'keen' on Gunners deal, Bouaddi latest",https://www.thesun.co.uk/sport/39415117/arsenal-transfer-news-live-morgan-rogers-tzolis-bouaddi-updates/
